Species_ID_shark-references,Genus,Species,Author,,
85,Aculeola,nigra,"DE BUEN, 1959",,
112,Aetobatus,flagellum,"(BLOCH & SCHNEIDER, 1801)",,
9963,Aetobatus,laticeps,"(GILL, 1865)",,
118,Aetobatus,narinari,"(EUPHRASEN, 1790)",,
13830,Aetobatus,narutobiei,"WHITE, FURUMITSU & YAMAGUCHI, 2013",,
119,Aetobatus,ocellatus,"(KUHL, 1823)",,
14099,Aetomylaeus,asperrimus,"(GILBERT, 1898)",,
14100,Aetomylaeus,bovinus,"(GEOFFROY SAINT-HILAIRE, 1817)",,
14405,Aetomylaeus,caeruleofasciatus,"WHITE, LAST & BAJE, 2016",,
138,Aetomylaeus,maculatus,"(GRAY, 1834)",,
139,Aetomylaeus,milvus,"(MÜLLER & HENLE, 1841)",,
140,Aetomylaeus,nichofii,"(BLOCH & SCHNEIDER, 1801)",,
143,Aetomylaeus,vespertilio,"(BLEEKER, 1852)",,
189,Alopias,pelagicus,"NAKAMURA, 1935",,
194,Alopias,superciliosus,"(LOWE, 1841)",,
198,Alopias,vulpinus,"(BONNATERRE, 1788)",,
203,Amblyraja,badia,"(GARMAN, 1899)",,
204,Amblyraja,doellojuradoi,"(POZZI, 1935)",,
205,Amblyraja,frerichsi,"(KREFFT, 1968)",,
206,Amblyraja,georgiana,"(NORMAN, 1938)",,
207,Amblyraja,hyperborea,"(COLLETT, 1879)",,
208,Amblyraja,jenseni,"(BIGELOW & SCHROEDER, 1950)",,
209,Amblyraja,radiata,"(DONOVAN, 1808)",,
210,Amblyraja,reversa,"(LLOYD, 1906)",,
211,Amblyraja,robertsi,"(HULLEY, 1970)",,
212,Amblyraja,taaf,"(MEISSNER, 1987)",,
223,Anacanthobatis,americanus,"BIGELOW & SCHROEDER, 1962",,
225,Anacanthobatis,donghaiensis,"(DENG, XIONG & ZHAN, 1983)",,
228,Anacanthobatis,folirostris,"(BIGELOW & SCHROEDER, 1951)",,
229,Anacanthobatis,longirostris,"BIGELOW & SCHROEDER, 1962",,
230,Anacanthobatis,marmoratus,"(VON BONDE & SWART, 1923)",,
274,Anoxypristis,cuspidata,"(LATHAM, 1794)",,
305,Apristurus,albisoma,"NAKAYA & SÉRET, 1999",,
306,Apristurus,ampliceps,"SASAHARA, SATO & NAKAYA, 2008",,
307,Apristurus,aphyodes,"NAKAYA & STEHMANN, 1998",,
309,Apristurus,australis,"SATO, NAKAYA & YOROZU, 2008",,
14149,Apristurus,breviventralis,"KAWAUCHI, WEIGMANN & NAKAYA, 2014",,
311,Apristurus,brunneus,"(GILBERT, 1892)",,
312,Apristurus,bucephalus,"WHITE, LAST & POGONOSKI, 2008",,
313,Apristurus,canutus,"SPRINGER & HEEMSTRA, 1979",,
314,Apristurus,exsanguis,"SATO, NAKAYA & STEWART, 1999",,
315,Apristurus,fedorovi,"DOLGANOV, 1983",,
13430,Apristurus,garricki,"SATO, STEWART & NAKAYA, 2013",,
316,Apristurus,gibbosus,"MENG, CHU & LI, 1985",,
317,Apristurus,herklotsi,"(FOWLER, 1934)",,
318,Apristurus,indicus,"(BRAUER, 1906)",,
319,Apristurus,internatus,"DENG, XIONG & ZHAN, 1988",,
320,Apristurus,investigatoris,"(MISRA, 1962)",,
321,Apristurus,japonicus,"NAKAYA, 1975",,
322,Apristurus,kampae,"TAYLOR, 1972",,
324,Apristurus,laurussonii,"(SAEMUNDSSON, 1922)",,
327,Apristurus,longicephalus,"NAKAYA, 1975",,
328,Apristurus,macrorhynchus,"(TANAKA, 1909)",,
329,Apristurus,macrostomus,"CHU, MENG & LI, 1985",,
331,Apristurus,manis,"(SPRINGER, 1979)",,
332,Apristurus,melanoasper,"IGLÉSIAS, NAKAYA & STEHMANN, 2004",,
333,Apristurus,microps,"(GILCHRIST, 1922)",,
334,Apristurus,micropterygeus,"MENG, CHU & LI, 1986",,
13257,Apristurus,nakayai,"IGLÉSIAS, 2012",,
335,Apristurus,nasutus,"DE BUEN, 1959",,
336,Apristurus,parvipinnis,"SPRINGER & HEEMSTRA, 1979",,
337,Apristurus,pinguis,"DENG, XIONG & ZHAN, 1983",,
338,Apristurus,platyrhynchus,"(TANAKA, 1909)",,
340,Apristurus,profundorum,"(GOODE & BEAN, 1896)",,
341,Apristurus,riveri,"BIGELOW & SCHROEDER, 1944",,
342,Apristurus,saldanha,"(BARNARD, 1925)",,
344,Apristurus,sibogae,"(WEBER, 1913)",,
345,Apristurus,sinensis,"CHU & HU, 1981",,
347,Apristurus,spongiceps,"(GILBERT, 1905)",,
348,Apristurus,stenseni,"(SPRINGER, 1979)",,
353,Aptychotrema,bougainvillii,"(MÜLLER & HENLE, 1841)",,
355,Aptychotrema,rostrata,"(SHAW, 1794)",,
357,Aptychotrema,timorensis,"LAST, 2004",,
358,Aptychotrema,vincentiana,"(HAACKE, 1885)",,
393,Arhynchobatis,asperrimus,"WAITE, 1909",,
450,Asymbolus,analis,"(OGILBY, 1885)",,
451,Asymbolus,funebris,"COMPAGNO, STEVENS & LAST, 1999",,
452,Asymbolus,galacticus,"SÉRET & LAST, 2008",,
453,Asymbolus,occiduus,"LAST, GOMON & GLEDHILL, 1999",,
454,Asymbolus,pallidus,"LAST, GOMON & GLEDHILL, 1999",,
455,Asymbolus,parvus,"COMPAGNO, STEVENS & LAST, 1999",,
456,Asymbolus,rubiginosus,"LAST, GOMON & GLEDHILL, 1999",,
458,Asymbolus,submaculatus,"COMPAGNO, STEVENS & LAST, 1999",,
459,Asymbolus,vincenti,"(ZIETZ, 1908)",,
462,Atelomycterus,baliensis,"WHITE, LAST & DHARMADI, 2005",,
14262,Atelomycterus,erdmanni,"FAHMI & WHITE, 2015",,
463,Atelomycterus,fasciatus,"COMPAGNO & STEVENS, 1993",,
464,Atelomycterus,macleayi,"WHITLEY, 1939",,
466,Atelomycterus,marmoratus,"(BENNETT, 1830)",,
467,Atelomycterus,marnkalha,"JACOBSEN & BENNETT, 2007",,
470,Atlantoraja,castelnaui,"(MIRANDA RIBEIRO, 1907)",,
471,Atlantoraja,cyclophora,"(REGAN, 1903)",,
472,Atlantoraja,platana,"(GÜNTHER, 1880)",,
480,Aulohalaelurus,kanakorum,"SÉRET, 1990",,
481,Aulohalaelurus,labiosus,"(WAITE, 1905)",,
494,Bathyraja,abyssicola,"(GILBERT, 1896)",,
495,Bathyraja,aguja,"(KENDALL & RADCLIFFE, 1912)",,
496,Bathyraja,albomaculata,"(NORMAN, 1937)",,
497,Bathyraja,aleutica,"(GILBERT, 1896)",,
498,Bathyraja,andriashevi,"DOLGANOV, 1983",,
500,Bathyraja,bergi,"DOLGANOV, 1983",,
501,Bathyraja,brachyurops,"(FOWLER, 1910)",,
502,Bathyraja,caeluronigricans,"ISHIYAMA & ISHIHARA, 1977",,
503,Bathyraja,cousseauae,"DÍAZ DE ASTARLOA & MABRAGAÑA, 2004",,
505,Bathyraja,diplotaenia,"(ISHIYAMA, 1952)",,
507,Bathyraja,eatonii,"(GÜNTHER, 1876)",,
509,Bathyraja,fedorovi,"DOLGANOV, 1983",,
510,Bathyraja,griseocauda,"(NORMAN, 1937)",,
511,Bathyraja,hesperafricana,"STEHMANN, 1995",,
513,Bathyraja,interrupta,"(GILL & TOWNSEND, 1897)",,
514,Bathyraja,irrasa,"HUREAU & OZOUF-COSTAZ, 1980",,
515,Bathyraja,ishiharai,"STEHMANN, 2005",,
516,Bathyraja,isotrachys,"(GÜNTHER, 1877)",,
518,Bathyraja,kincaidii,"(GARMAN, 1908)",,
11975,Bathyraja,leucomelanos,"IGLÉSIAS & LÉVY-HARTMANN, 2012",,
519,Bathyraja,lindbergi,"ISHIYAMA & ISHIHARA, 1977",,
520,Bathyraja,longicauda,"(DE BUEN, 1959)",,
521,Bathyraja,maccaini,"SPRINGER, 1971",,
522,Bathyraja,macloviana,"(NORMAN, 1937)",,
523,Bathyraja,maculata,"ISHIYAMA & ISHIHARA, 1977",,
524,Bathyraja,magellanica,"(PHILIPPI, 1902)",,
525,Bathyraja,mariposa,"STEVENSON, ORR, HOFF & McEACHRAN, 2004",,
526,Bathyraja,matsubarai,"(ISHIYAMA, 1952)",,
527,Bathyraja,meridionalis,"STEHMANN, 1987",,
529,Bathyraja,minispinosa,"ISHIYAMA & ISHIHARA, 1977",,
530,Bathyraja,multispinis,"(NORMAN, 1937)",,
531,Bathyraja,murrayi,"(GÜNTHER, 1880)",,
533,Bathyraja,notoroensis,"ISHIYAMA & ISHIHARA, 1977",,
534,Bathyraja,pallida,"(FORSTER, 1967)",,
12435,Bathyraja,panthera,"ORR, STEVENSON, HOFF, SPIES & MCEACHRAN, 2011",,
536,Bathyraja,papilionifera,"STEHMANN, 1985",,
538,Bathyraja,parmifera,"(BEAN, 1881)",,
539,Bathyraja,peruana,"McEACHRAN & MIYAKE, 1984",,
541,Bathyraja,richardsoni,"(GARRICK, 1961)",,
543,Bathyraja,scaphiops,"(NORMAN, 1937)",,
544,Bathyraja,schroederi,"(KREFFT, 1968)",,
545,Bathyraja,shuntovi,"DOLGANOV, 1985",,
546,Bathyraja,simoterus,"(ISHIYAMA, 1967)",,
547,Bathyraja,smirnovi,"(SOLDATOV & PAVLENKO, 1915)",,
548,Bathyraja,smithii,"(MÜLLER & HENLE, 1841)",,
550,Bathyraja,spinicauda,"(JENSEN, 1914)",,
552,Bathyraja,spinosissima,"(BEEBE & TEE-VAN, 1941)",,
553,Bathyraja,taranetzi,"(DOLGANOV, 1983)",,
555,Bathyraja,trachouros,"(ISHIYAMA, 1958)",,
556,Bathyraja,trachura,"(GILBERT, 1892)",,
557,Bathyraja,tunae,"STEHMANN, 2005",,
558,Bathyraja,tzinovskii,"DOLGANOV, 1983",,
559,Bathyraja,violacea,"(SUVOROV, 1935)",,
578,Benthobatis,kreffti,"RINCON, STEHMANN & VOOREN, 2001",,
579,Benthobatis,marcida,"BEAN & WEED, 1909",,
580,Benthobatis,moresbyi,"ALCOCK, 1898",,
581,Benthobatis,yangi,"CARVALHO, COMPAGNO & EBERT, 2003",,
13990,Beringraja,binoculata,"(GIRARD, 1855)",,
599,Brachaelurus,colcloughi,"OGILBY, 1908",,
605,Brachaelurus,waddi,"(BLOCH & SCHNEIDER, 1801)",,
11082,Breviraja,abasiriensis,"ISHIYAMA, 1952",,
621,Breviraja,claramaculata,"McEACHRAN & MATHESON, 1985",,
622,Breviraja,colesi,"BIGELOW & SCHROEDER, 1948",,
628,Breviraja,marklei,"McEACHRAN & MIYAKE, 1987",,
630,Breviraja,mouldi,"McEACHRAN & MATHESON, 1995",,
632,Breviraja,nigriventralis,"McEACHRAN & MATHESON, 1985",,
641,Breviraja,spinosa,"BIGELOW & SCHROEDER, 1950",,
9496,Brochiraja,aenigma,"LAST & McEACHRAN, 2006",,
9497,Brochiraja,albilabiata,"LAST & McEACHRAN, 2006",,
9494,Brochiraja,asperula,"(GARRICK & PAUL, 1974)",,
11945,Brochiraja,heuresa,"LAST & SÉRET, 2012",,
9498,Brochiraja,leviveneta,"LAST & McEACHRAN, 2006",,
9499,Brochiraja,microspinifera,"LAST & McEACHRAN, 2006",,
9495,Brochiraja,spinifera,"(GARRICK & PAUL, 1974)",,
11946,Brochiraja,vittacauda,"LAST & SÉRET, 2012",,
650,Bythaelurus,alcockii,"(GARMAN, 1913)",,
651,Bythaelurus,canescens,"(GÜNTHER, 1878)",,
652,Bythaelurus,clevai,"(SÉRET, 1987)",,
653,Bythaelurus,dawsoni,"(SPRINGER, 1971)",,
12005,Bythaelurus,giddingsi,"McCOSKER, LONG & BALDWIN, 2012",,
654,Bythaelurus,hispidus,"(ALCOCK, 1891)",,
655,Bythaelurus,immaculatus,"(CHU & MENG, 1982)",,
656,Bythaelurus,incanus,"LAST & STEVENS, 2008",,
657,Bythaelurus,lutarius,"(SPRINGER & D'AUBREY, 1972)",,
14392,Bythaelurus,naylori,"EBERT & CLERKIN, 2015",,
14435,Bythaelurus,tenuicephalus,"KASCHNER, WEIGMANN & THIEL, 2015",,
703,Carcharhinus,acronotus,"(POEY, 1860)",,
709,Carcharhinus,albimarginatus,"(RÜPPELL, 1837)",,
710,Carcharhinus,altimus,"(SPRINGER, 1950)",,
714,Carcharhinus,amblyrhynchoides,"(WHITLEY, 1934)",,
715,Carcharhinus,amblyrhynchos,"(BLEEKER, 1856)",,
717,Carcharhinus,amboinensis,"(MÜLLER & HENLE, 1839)",,
726,Carcharhinus,borneensis,"(BLEEKER, 1858)",,
727,Carcharhinus,brachyurus,"(GÜNTHER, 1870)",,
729,Carcharhinus,brevipinna,"(MÜLLER & HENLE, 1839)",,
733,Carcharhinus,cautus,"(WHITLEY, 1945)",,
12109,Carcharhinus,coatesi,"(WHITLEY, 1939)",,
743,Carcharhinus,dussumieri,"(MÜLLER & HENLE, 1839)",,
749,Carcharhinus,falciformis,"(MÜLLER & HENLE, 1839)",,
751,Carcharhinus,fitzroyensis,"(WHITLEY, 1943)",,
755,Carcharhinus,galapagensis,"(SNODGRASS & HELLER, 1905)",,
762,Carcharhinus,hemiodon,"(MÜLLER & HENLE, 1839)",,
14062,Carcharhinus,humani,"WHITE & WEIGMANN, 2014",,
767,Carcharhinus,isodon,"(MÜLLER & HENLE, 1839)",,
773,Carcharhinus,leiodon,"GARRICK, 1985",,
774,Carcharhinus,leucas,"(MÜLLER & HENLE, 1839)",,
775,Carcharhinus,limbatus,"(MÜLLER & HENLE, 1839)",,
776,Carcharhinus,longimanus,"(POEY, 1861)",,
779,Carcharhinus,macloti,"(MÜLLER & HENLE, 1839)",,
789,Carcharhinus,melanopterus,"(QUOY & GAIMARD, 1824)",,
803,Carcharhinus,obscurus,"(LESUEUR, 1818)",,
810,Carcharhinus,perezii,"(POEY, 1876)",,
815,Carcharhinus,plumbeus,"(NARDO, 1827)",,
817,Carcharhinus,porosus,"(RANZANI, 1839)",,
828,Carcharhinus,sealei,"(PIETSCHMANN, 1913)",,
830,Carcharhinus,signatus,"(POEY, 1868)",,
833,Carcharhinus,sorrah,"(MÜLLER & HENLE, 1839)",,
845,Carcharhinus,tilstoni,"(WHITLEY, 1950)",,
846,Carcharhinus,tjutjot,"(BLEEKER, 1852)",,
1045,Carcharias,taurus,"RAFINESQUE, 1810",,
1150,Carcharodon,carcharias,"(LINNAEUS, 1758)",,
1229,Centrophorus,atromarginatus,"GARMAN, 1913",,
1238,Centrophorus,granulosus,"(BLOCH & SCHNEIDER, 1801)",,
1239,Centrophorus,harrissoni,"MCCULLOCH, 1915",,
1241,Centrophorus,isodon,"(CHU, MENG & LIU, 1981)",,
1244,Centrophorus,lusitanicus,"BARBOSA DU BOCAGE & DE BRITO CAPELLO, 1864",,
1245,Centrophorus,moluccensis,"BLEEKER, 1860",,
1253,Centrophorus,seychellorum,"BARANES, 2003",,
1255,Centrophorus,squamosus,"(BONNATERRE, 1788)",,
1260,Centrophorus,tessellatus,"GARMAN, 1906",,
1261,Centrophorus,uyato,"(RAFINESQUE, 1810)",,
1263,Centrophorus,westraliensis,"WHITE, EBERT & COMPAGNO, 2008",,
1264,Centrophorus,zeehaani,"WHITE, EBERT & COMPAGNO, 2008",,
1268,Centroscyllium,excelsum,"SHIRAI & NAKAYA, 1990",,
1269,Centroscyllium,fabricii,"(REINHARDT, 1825)",,
1271,Centroscyllium,granulatum,"GÜNTHER, 1887",,
1272,Centroscyllium,kamoharai,"ABE, 1966",,
1273,Centroscyllium,nigrum,"GARMAN, 1899",,
1274,Centroscyllium,ornatum,"(ALCOCK, 1889)",,
1275,Centroscyllium,ritteri,"JORDAN & FOWLER, 1903",,
1281,Centroscymnus,coelolepis,"BARBOSA DU BOCAGE & DE BRITO CAPELLO, 1864",,
1289,Centroscymnus,owstonii,"GARMAN, 1906",,
8556,Centroselachus,crepidater,"(BARBOSA DU BOCAGE & DE BRITO CAPELLO, 1864)",,
1300,Cephaloscyllium,albipinnum,"LAST, MOTOMURA & WHITE, 2008",,
1302,Cephaloscyllium,cooki,"LAST, SÉRET & WHITE, 2008",,
1303,Cephaloscyllium,fasciatum,"CHAN, 1966",,
13814,Cephaloscyllium,formosanum,"TENG, 1962",,
1304,Cephaloscyllium,hiscosellum,"WHITE & EBERT, 2008",,
1306,Cephaloscyllium,isabellum,"(BONNATERRE, 1788)",,
1307,Cephaloscyllium,laticeps,"(DUMÉRIL, 1853)",,
1310,Cephaloscyllium,pictum,"LAST, SÉRET & WHITE, 2008",,
1311,Cephaloscyllium,sarawakensis,"YANO, AHMED, GAMBANG, HAMAD IDRIS, SOLAHUDDIN & AZNAN, 2005",,
1312,Cephaloscyllium,signourum,"LAST, SÉRET & WHITE, 2008",,
1313,Cephaloscyllium,silasi,"(TALWAR, 1974)",,
1315,Cephaloscyllium,speccum,"LAST, SÉRET & WHITE, 2008",,
11012,Cephaloscyllium,stevensi,"CLARK & RANDALL, 2011",,
1316,Cephaloscyllium,sufflans,"(REGAN, 1921)",,
1317,Cephaloscyllium,umbratile,"JORDAN & FOWLER, 1903",,
1319,Cephaloscyllium,variegatum,"LAST & WHITE, 2008",,
1320,Cephaloscyllium,ventriosum,"(GARMAN, 1880)",,
1321,Cephaloscyllium,zebrum,"LAST & WHITE, 2008",,
1322,Cephalurus,cephalus,"(GILBERT, 1892)",,
1347,Cetorhinus,maximus,"(GUNNERUS, 1765)",,
1364,Chaenogaleus,macrostoma,"(BLEEKER, 1852)",,
1373,Chiloscyllium,arabicum,"GUBANOV, 1980",,
1376,Chiloscyllium,burmensis,"DINGERKUS & DE FINO, 1983",,
1377,Chiloscyllium,caeruleopunctatum,"PELLEGRIN, 1914",,
1388,Chiloscyllium,griseum,"MÜLLER & HENLE, 1838",,
1392,Chiloscyllium,hasseltii,"BLEEKER, 1852",,
1394,Chiloscyllium,indicum,"(GMELIN, 1789)",,
1406,Chiloscyllium,plagiosum,"(BENNETT, 1830)",,
1408,Chiloscyllium,punctatum,"MÜLLER & HENLE, 1838",,
8218,Chlamydoselachus,africana,"EBERT & COMPAGNO, 2009",,
1453,Chlamydoselachus,anguineus,"GARMAN, 1884",,
1465,Cirrhigaleus,asper,"(MERRETT, 1973)",,
1466,Cirrhigaleus,australis,"WHITE, LAST & STEVENS, 2007",,
1467,Cirrhigaleus,barbifer,"TANAKA, 1912",,
1468,Cirrhoscyllium,expolitum,"SMITH & RADCLIFFE, 1913",,
1470,Cirrhoscyllium,formosanum,"TENG, 1959",,
1471,Cirrhoscyllium,japonicum,"KAMOHARA, 1943",,
1568,Crassinarke,dormitor,"TAKAGI, 1951",,
1671,Cruriraja,andamanica,"(LLOYD, 1909)",,
1672,Cruriraja,atlantis,"BIGELOW & SCHROEDER, 1948",,
1673,Cruriraja,cadenati,"BIGELOW & SCHROEDER, 1962",,
1674,Cruriraja,durbanensis,"(VON BONDE & SWART, 1923)",,
10162,Cruriraja,hulleyi,"ASCHLIMAN, EBERT & COMPAGNO, 2010",,
1675,Cruriraja,parcomaculata,"(VON BONDE & SWART, 1923)",,
1676,Cruriraja,poeyi,"BIGELOW & SCHROEDER, 1948",,
1677,Cruriraja,rugosa,"BIGELOW & SCHROEDER, 1958",,
1700,Ctenacis,fehlmanni,"(SPRINGER, 1968)",,
1711,Dactylobatus,armatus,"BEAN & WEED, 1909",,
1713,Dactylobatus,clarkii,"(BIGELOW & SCHROEDER, 1958)",,
1718,Dalatias,licha,"(BONNATERRE, 1788)",,
1735,Dasyatis,acutirostra,"NISHIDA & NAKAYA, 1988",,
1740,Dasyatis,akajei,"(MÜLLER & HENLE, 1841)",,
1746,Dasyatis,americana,"HILDEBRAND & SCHROEDER, 1928",,
1755,Dasyatis,bennettii,"(MÜLLER & HENLE, 1841)",,
1762,Dasyatis,brevicaudata,"(HUTTON, 1875)",,
1764,Dasyatis,brevis,"(GARMAN, 1880)",,
1769,Dasyatis,centroura,"(MITCHILL, 1815)",,
1778,Dasyatis,chrysonota,"(SMITH, 1828)",,
1781,Dasyatis,colarensis,"SANTOS, GOMES & CHARVET-ALMEIDA, 2004",,
1790,Dasyatis,dipterura,"(JORDAN & GILBERT, 1880)",,
1797,Dasyatis,fluviorum,"OGILBY, 1908",,
1800,Dasyatis,garouaensis,"(STAUCH & BLANC, 1962)",,
1803,Dasyatis,geijskesi,"BOESEMAN, 1948",,
1806,Dasyatis,gigantea,"(LINDBERG, 1930)",,
